future_price,CallDelta,CallIV,CallLTP,CallOI,CallVega,PutDelta,PutIV,PutLTP,PutOI,PutVega,Strikes,index_x,index_y,name
24576.95,49.01,14.96,234.75,1114350,1643.33,-51.02,14.76,254.5,1423950,1643.31,24600,37,97,
21831.3,33.96,14.99,68.95,1640150,751.8,-67.09,14.04,191.6,532400,742.53,21850,31,137,
21819.7,31.95,14.81,62.45,2577500,731.86,-69.69,13.51,197.9,706650,715.33,21850,84,279,
21844.7,33.98,15.42,70.7,2968850,749.38,-71.47,11.32,173.95,733100,694.9,21850,76,273,
21872,30.43,15.56,61.25,5401950,715.26,-78.63,10.12,190.85,1034100,595.21,21900,80,330,
21841.9,33.9,14.77,67.35,2999400,746.51,-68.9,12.5,178.2,847500,720.59,21850,72,245,
21849,33.69,14.87,67.1,3209500,743.48,-71.03,11.36,171.65,763200,696.62,21850,70,243,
21870,29.31,14.78,55.05,6069650,699.7,-79.69,9.76,188.9,928350,574.72,21900,76,255,
21884,31.22,14.8,60,6069550,719.15,-75.59,10.53,180.65,1069300,637.63,21900,74,280,
21872,30.34,14.07,54.8,6020900,709.05,-72.25,12.31,191.85,1047250,680.1,21900,72,249,
21879.1,31.22,14.29,57.8,5909100,717.06,-72.6,11.7,183.85,1064650,674.91,21900,66,231,
21865.05,29.36,14.32,53.15,5963200,695.96,-75.25,11.44,193.5,1058000,639,21900,63,237,
21856.25,28.42,13.57,48.15,6053050,684.25,-72.43,13.01,202.9,1006600,674.31,21900,76,209,
21889,30.77,14.44,56.95,6014700,708.86,-77.21,9.79,174.6,1146800,608.94,21900,78,350,
21858.6,27.57,14.51,49.2,6049250,671.41,-81.91,9.54,195.25,1070550,529.09,21900,73,278,
21879.05,29.67,14.2,53.1,6312500,694.79,-77.55,10.08,180.8,1032350,601.61,21900,72,228,
21884,30.28,14.3,54.9,6268250,700.22,-77.37,9.9,176.35,1144200,603.48,21900,73,205,
21892.45,30.77,14.64,57.35,6308700,704.02,-81.51,8.28,166.5,1212250,534.34,21900,62,200,
21887.95,30.96,13.81,54.5,6332050,705.1,-74.29,10.57,172,1285000,644.86,21900,76,213,
21889.9,30.76,13.85,54.1,6322800,701.86,-75.69,10.06,169.95,1239700,624.9,21900,70,192,
21928.2,28.91,15.03,53.9,1938200,681.88,-89.61,6.7,176,297800,360.03,21950,92,344,
21961.2,26.39,15.71,49.8,7040300,651.44,0,0,184.1,1477400,0,22000,100,356,
21958,26.08,14.85,46.3,7050950,646.66,0,0,188.95,1533700,0,22000,93,320,
21996,30.02,16.51,62.1,6795600,691.7,0,0,160.25,1652400,0,22000,101,355,
21990.05,30.66,15.92,61.55,6771500,697.42,-95.16,4.91,164.7,1784900,199.57,22000,97,308,
21888.8,30.2,15.27,57.5,4800600,688.47,-89.84,6.3,165.05,2026700,350.59,21900,91,325,
21849.65,32.22,15.5,55.25,4154500,613.04,-72.78,11.87,158,1786800,567.51,21850,33,135,
21841.9,32.59,14.31,51.75,4443500,614.86,-68.14,13.71,159.95,1477600,609.16,21850,83,299,
